In / Out of New Methodology Implemented,In / Out of New Processing Implemented,Measure Names,Year,Measure Values
Out,Out,Total Men,1967,"51,860"
Out,Out,White Women,1967,"30,900"
Out,Out,White Men,1967,"53,400"
Out,Out,Black Women,1967,"23,060"
Out,Out,Black Men,1967,"34,490"
Out,Out,Asian Women,1967,
Out,Out,Asian Men,1967,
Out,Out,Hispanic Women,1967,
Out,Out,Hispanic Men,1967,
Out,Out,"White, non-Hispanic Women",1967,
Out,Out,"White, non-Hispanic Men",1967,
Out,Out,Total Women,1968,"30,950"
Out,Out,Total Men,1968,"53,230"
Out,Out,White Women,1968,"31,810"
Out,Out,White Men,1968,"54,660"
Out,Out,Black Women,1968,"24,220"
Out,Out,Black Men,1968,"36,910"
Out,Out,Asian Women,1968,
Out,Out,Asian Men,1968,
Out,Out,Hispanic Women,1968,
Out,Out,Hispanic Men,1968,
Out,Out,"White, non-Hispanic Women",1968,
Out,Out,"White, non-Hispanic Men",1968,
Out,Out,Total Women,1969,"33,160"
Out,Out,Total Men,1969,"54,810"
Out,Out,White Women,1969,"33,830"
Out,Out,White Men,1969,"58,200"
Out,Out,Black Women,1969,"26,710"
Out,Out,Black Men,1969,"39,180"
Out,Out,Asian Women,1969,
Out,Out,Asian Men,1969,
Out,Out,Hispanic Women,1969,
Out,Out,Hispanic Men,1969,
Out,Out,"White, non-Hispanic Women",1969,
Out,Out,"White, non-Hispanic Men",1969,
Out,Out,Total Women,1970,"33,820"
Out,Out,Total Men,1970,"56,960"
Out,Out,White Women,1970,"34,380"
Out,Out,White Men,1970,"58,590"
Out,Out,Black Women,1970,"28,250"
Out,Out,Black Men,1970,"40,450"
Out,Out,Asian Women,1970,
Out,Out,Asian Men,1970,
Out,Out,Hispanic Women,1970,
Out,Out,Hispanic Men,1970,
Out,Out,"White, non-Hispanic Women",1970,
Out,Out,"White, non-Hispanic Men",1970,
Out,Out,Total Women,1971,"34,080"
Out,Out,Total Men,1971,"57,270"
Out,Out,White Women,1971,"34,430"
Out,Out,White Men,1971,"58,850"
Out,Out,Black Women,1971,"30,550"
Out,Out,Black Men,1971,"40,630"
Out,Out,Asian Women,1971,
Out,Out,Asian Men,1971,
Out,Out,Hispanic Women,1971,
Out,Out,Hispanic Men,1971,
Out,Out,"White, non-Hispanic Women",1971,
Out,Out,"White, non-Hispanic Men",1971,
Out,Out,Total Women,1972,"34,800"
Out,Out,Total Men,1972,"60,150"
Out,Out,White Women,1972,"35,360"
Out,Out,White Men,1972,"62,450"
Out,Out,Black Women,1972,"30,350"
Out,Out,Black Men,1972,"43,040"
Out,Out,Asian Women,1972,
Out,Out,Asian Men,1972,
Out,Out,Hispanic Women,1972,
Out,Out,Hispanic Men,1972,
Out,Out,"White, non-Hispanic Women",1972,
Out,Out,"White, non-Hispanic Men",1972,
Out,Out,Total Women,1973,"35,200"
Out,Out,Total Men,1973,"62,150"
Out,Out,White Women,1973,"35,750"
Out,Out,White Men,1973,"63,980"
Out,Out,Black Women,1973,"30,490"
Out,Out,Black Men,1973,"43,780"
Out,Out,Asian Women,1973,
Out,Out,Asian Men,1973,
Out,Out,Hispanic Women,1973,
Out,Out,Hispanic Men,1973,
Out,Out,"White, non-Hispanic Women",1973,
Out,Out,"White, non-Hispanic Men",1973,
Out,Out,Total Women,1974,"35,260"
Out,Out,Total Men,1974,"60,010"
Out,Out,White Women,1974,"35,510"
Out,Out,White Men,1974,"61,300"
Out,Out,Black Women,1974,"33,200"
Out,Out,Black Men,1974,"44,100"
Out,Out,Asian Women,1974,
Out,Out,Asian Men,1974,
Out,Out,Hispanic Women,1974,"29,970"
Out,Out,Hispanic Men,1974,"44,950"
Out,Out,"White, non-Hispanic Women",1974,
Out,Out,"White, non-Hispanic Men",1974,
Out,Out,Total Women,1975,"35,040"
Out,Out,Total Men,1975,"59,570"
Out,Out,White Women,1975,"35,080"
Out,Out,White Men,1975,"60,960"
Out,Out,Black Women,1975,"33,790"
Out,Out,Black Men,1975,"45,330"
Out,Out,Asian Women,1975,
Out,Out,Asian Men,1975,
Out,Out,Hispanic Women,1975,"30,030"
Out,Out,Hispanic Men,1975,"43,950"
Out,Out,"White, non-Hispanic Women",1975,
Out,Out,"White, non-Hispanic Men",1975,
Out,Out,Total Women,1976,"35,780"
Out,Out,Total Men,1976,"59,440"
Out,Out,White Women,1976,"36,020"
Out,Out,White Men,1976,"61,020"
Out,Out,Black Women,1976,"33,800"
Out,Out,Black Men,1976,"44,670"
Out,Out,Asian Women,1976,
Out,Out,Asian Men,1976,
Out,Out,Hispanic Women,1976,"30,830"
Out,Out,Hispanic Men,1976,"45,360"
Out,Out,"White, non-Hispanic Women",1976,
Out,Out,"White, non-Hispanic Men",1976,
Out,Out,Total Women,1977,"35,760"
Out,Out,Total Men,1977,"60,690"
Out,Out,White Women,1977,"35,980"
Out,Out,White Men,1977,"62,490"
Out,Out,Black Women,1977,"33,600"
Out,Out,Black Men,1977,"43,340"
Out,Out,Asian Women,1977,
Out,Out,Asian Men,1977,
Out,Out,Hispanic Women,1977,"31,190"
Out,Out,Hispanic Men,1977,"44,770"
Out,Out,"White, non-Hispanic Women",1977,
Out,Out,"White, non-Hispanic Men",1977,
Out,Out,Total Women,1978,"36,310"
Out,Out,Total Men,1978,"61,090"
Out,Out,White Women,1978,"36,610"
Out,Out,White Men,1978,"62,120"
Out,Out,Black Women,1978,"34,260"
Out,Out,Black Men,1978,"47,940"
Out,Out,Asian Women,1978,
Out,Out,Asian Men,1978,
Out,Out,Hispanic Women,1978,"31,360"
Out,Out,Hispanic Men,1978,"45,580"
Out,Out,"White, non-Hispanic Women",1978,
Out,Out,"White, non-Hispanic Men",1978,
Out,Out,Total Women,1979,"36,010"
Out,Out,Total Men,1979,"60,360"
Out,Out,White Women,1979,"36,290"
Out,Out,White Men,1979,"61,740"
Out,Out,Black Women,1979,"33,430"
Out,Out,Black Men,1979,"44,840"
Out,Out,Asian Women,1979,
Out,Out,Asian Men,1979,
Out,Out,Hispanic Women,1979,"29,950"
Out,Out,Hispanic Men,1979,"43,920"
Out,Out,"White, non-Hispanic Women",1979,
Out,Out,"White, non-Hispanic Men",1979,
Out,Out,Total Women,1980,"35,770"
Out,Out,Total Men,1980,"59,460"
Out,Out,White Women,1980,"36,030"
Out,Out,White Men,1980,"61,210"
Out,Out,Black Women,1980,"34,100"
Out,Out,Black Men,1980,"43,280"
Out,Out,Asian Women,1980,
Out,Out,Asian Men,1980,
Out,Out,Hispanic Women,1980,"30,920"
Out,Out,Hispanic Men,1980,"43,320"
Out,Out,"White, non-Hispanic Women",1980,
Out,Out,"White, non-Hispanic Men",1980,
Out,Out,Total Women,1981,"35,000"
Out,Out,Total Men,1981,"59,090"
Out,Out,White Women,1981,"35,310"
Out,Out,White Men,1981,"60,390"
Out,Out,Black Women,1981,"32,660"
Out,Out,Black Men,1981,"42,950"
Out,Out,Asian Women,1981,
Out,Out,Asian Men,1981,
Out,Out,Hispanic Women,1981,"31,290"
Out,Out,Hispanic Men,1981,"42,930"
Out,Out,"White, non-Hispanic Women",1981,
Out,Out,"White, non-Hispanic Men",1981,
Out,Out,Total Women,1982,"35,790"
Out,Out,Total Men,1982,"57,960"
Out,Out,White Women,1982,"36,190"
Out,Out,White Men,1982,"59,410"
Out,Out,Black Women,1982,"33,360"
Out,Out,Black Men,1982,"42,630"
Out,Out,Asian Women,1982,
Out,Out,Asian Men,1982,
Out,Out,Hispanic Women,1982,"30,560"
Out,Out,Hispanic Men,1982,"42,300"
Out,Out,"White, non-Hispanic Women",1982,
Out,Out,"White, non-Hispanic Men",1982,
Out,Out,Total Women,1983,"36,730"
Out,Out,Total Men,1983,"57,750"
Out,Out,White Women,1983,"37,120"
Out,Out,White Men,1983,"59,170"
Out,Out,Black Women,1983,"33,490"
Out,Out,Black Men,1983,"42,630"
Out,Out,Asian Women,1983,
Out,Out,Asian Men,1983,
Out,Out,Hispanic Women,1983,"30,790"
Out,Out,Hispanic Men,1983,"42,680"
Out,Out,"White, non-Hispanic Women",1983,
Out,Out,"White, non-Hispanic Men",1983,
Out,Out,Total Women,1984,"37,440"
Out,Out,Total Men,1984,"58,820"
Out,Out,White Women,1984,"37,760"
Out,Out,White Men,1984,"60,700"
Out,Out,Black Women,1984,"34,760"
Out,Out,Black Men,1984,"42,140"
Out,Out,Asian Women,1984,
Out,Out,Asian Men,1984,
Out,Out,Hispanic Women,1984,"31,780"
Out,Out,Hispanic Men,1984,"42,910"
Out,Out,"White, non-Hispanic Women",1984,
Out,Out,"White, non-Hispanic Men",1984,
Out,Out,Total Women,1985,"38,280"
Out,Out,Total Men,1985,"59,280"
Out,Out,White Women,1985,"38,700"
Out,Out,White Men,1985,"61,400"
Out,Out,Black Women,1985,"35,050"
Out,Out,Black Men,1985,"42,820"
Out,Out,Asian Women,1985,
Out,Out,Asian Men,1985,
Out,Out,Hispanic Women,1985,"32,010"
Out,Out,Hispanic Men,1985,"41,770"
Out,Out,"White, non-Hispanic Women",1985,
Out,Out,"White, non-Hispanic Men",1985,
Out,Out,Total Women,1986,"39,120"
Out,Out,Total Men,1986,"60,870"
Out,Out,White Women,1986,"39,580"
Out,Out,White Men,1986,"62,490"
Out,Out,Black Women,1986,"35,510"
Out,Out,Black Men,1986,"44,200"
Out,Out,Asian Women,1986,
Out,Out,Asian Men,1986,
Out,Out,Hispanic Women,1986,"33,350"
Out,Out,Hispanic Men,1986,"40,530"
Out,Out,"White, non-Hispanic Women",1986,
Out,Out,"White, non-Hispanic Men",1986,
Out,Out,Total Women,1987,"39,430"
Out,Out,Total Men,1987,"60,490"
Out,Out,White Women,1987,"39,810"
Out,Out,White Men,1987,"61,850"
Out,Out,Black Women,1987,"36,720"
Out,Out,Black Men,1987,"44,580"
Out,Out,Asian Women,1987,
Out,Out,Asian Men,1987,
Out,Out,Hispanic Women,1987,"33,860"
Out,Out,Hispanic Men,1987,"40,650"
Out,Out,"White, non-Hispanic Women",1987,"40,240"
Out,Out,"White, non-Hispanic Men",1987,"63,350"
Out,Out,Total Women,1988,"39,580"
Out,Out,Total Men,1988,"59,930"
Out,Out,White Women,1988,"40,060"
Out,Out,White Men,1988,"61,220"
Out,Out,Black Women,1988,"37,180"
Out,Out,Black Men,1988,"45,800"
Out,Out,Asian Women,1988,"43,500"
Out,Out,Asian Men,1988,"60,980"
Out,Out,Hispanic Women,1988,"33,380"
Out,Out,Hispanic Men,1988,"40,130"
Out,Out,"White, non-Hispanic Women",1988,"40,730"
Out,Out,"White, non-Hispanic Men",1988,"63,530"
Out,Out,Total Women,1989,"40,420"
Out,Out,Total Men,1989,"58,860"
Out,Out,White Women,1989,"40,750"
Out,Out,White Men,1989,"61,470"
Out,Out,Black Women,1989,"37,450"
Out,Out,Black Men,1989,"43,990"
Out,Out,Asian Women,1989,"46,010"
Out,Out,Asian Men,1989,"60,630"
Out,Out,Hispanic Women,1989,"33,730"
Out,Out,Hispanic Men,1989,"39,540"
Out,Out,"White, non-Hispanic Women",1989,"41,440"
Out,Out,"White, non-Hispanic Men",1989,"64,540"
Out,Out,Total Women,1990,"40,710"
Out,Out,Total Men,1990,"56,850"
Out,Out,White Women,1990,"41,180"
Out,Out,White Men,1990,"59,320"
Out,Out,Black Women,1990,"37,050"
Out,Out,Black Men,1990,"43,370"
Out,Out,Asian Women,1990,"43,800"
Out,Out,Asian Men,1990,"54,970"
Out,Out,Hispanic Women,1990,"32,190"
Out,Out,Hispanic Men,1990,"39,300"
Out,Out,"White, non-Hispanic Women",1990,"41,810"
Out,Out,"White, non-Hispanic Men",1990,"61,890"
Out,Out,Total Women,1991,"40,730"
Out,Out,Total Men,1991,"58,310"
Out,Out,White Women,1991,"41,210"
Out,Out,White Men,1991,"59,980"
Out,Out,Black Women,1991,"37,100"
Out,Out,Black Men,1991,"43,750"
Out,Out,Asian Women,1991,"41,960"
Out,Out,Asian Men,1991,"59,770"
Out,Out,Hispanic Women,1991,"32,190"
Out,Out,Hispanic Men,1991,"39,180"
Out,Out,"White, non-Hispanic Women",1991,"41,810"
Out,Out,"White, non-Hispanic Men",1991,"61,530"
Out,Out,Total Women,1992,"41,310"
Out,Out,Total Men,1992,"58,360"
Out,Out,White Women,1992,"41,740"
Out,Out,White Men,1992,"59,640"
Out,Out,Black Women,1992,"38,200"
Out,Out,Black Men,1992,"43,290"
Out,Out,Asian Women,1992,"44,070"
Out,Out,Asian Men,1992,"58,990"
Out,Out,Hispanic Women,1992,"33,020"
Out,Out,Hispanic Men,1992,"37,770"
Out,Out,"White, non-Hispanic Women",1992,"42,320"
Out,Out,"White, non-Hispanic Men",1992,"61,310"
Out,Out,Total Women,1993,"41,020"
Out,Out,Total Men,1993,"57,350"
Out,Out,White Women,1993,"41,540"
Out,Out,White Men,1993,"58,640"
Out,Out,Black Women,1993,"37,370"
Out,Out,Black Men,1993,"43,420"
Out,Out,Asian Women,1993,"45,920"
Out,Out,Asian Men,1993,"58,290"
Out,Out,Hispanic Women,1993,"31,610"
Out,Out,Hispanic Men,1993,"38,000"
Out,Out,"White, non-Hispanic Women",1993,"42,220"
Out,Out,"White, non-Hispanic Men",1993,"60,300"
Out,Out,Total Women,1994,"40,980"
Out,Out,Total Men,1994,"56,950"
Out,Out,White Women,1994,"41,760"
Out,Out,White Men,1994,"58,320"
Out,Out,Black Women,1994,"36,750"
Out,Out,Black Men,1994,"43,820"
Out,Out,Asian Women,1994,"45,130"
Out,Out,Asian Men,1994,"59,180"
Out,Out,Hispanic Women,1994,"32,430"
Out,Out,Hispanic Men,1994,"37,490"
Out,Out,"White, non-Hispanic Women",1994,"42,810"
Out,Out,"White, non-Hispanic Men",1994,"60,240"
Out,Out,Total Women,1995,"40,560"
Out,Out,Total Men,1995,"56,790"
Out,Out,White Women,1995,"41,310"
Out,Out,White Men,1995,"58,010"
Out,Out,Black Women,1995,"37,260"
Out,Out,Black Men,1995,"44,050"
Out,Out,Asian Women,1995,"44,860"
Out,Out,Asian Men,1995,"56,930"
Out,Out,Hispanic Women,1995,"30,970"
Out,Out,Hispanic Men,1995,"36,750"
Out,Out,"White, non-Hispanic Women",1995,"42,660"
Out,Out,"White, non-Hispanic Men",1995,"62,030"
Out,Out,Total Women,1996,"41,650"
Out,Out,Total Men,1996,"56,470"
Out,Out,White Women,1996,"42,440"
Out,Out,White Men,1996,"57,910"
Out,Out,Black Women,1996,"37,720"
Out,Out,Black Men,1996,"46,380"
Out,Out,Asian Women,1996,"44,890"
Out,Out,Asian Men,1996,"60,520"
Out,Out,Hispanic Women,1996,"32,790"
Out,Out,Hispanic Men,1996,"36,990"
Out,Out,"White, non-Hispanic Women",1996,"43,720"
Out,Out,"White, non-Hispanic Men",1996,"62,260"
Out,Out,Total Women,1997,"42,950"
Out,Out,Total Men,1997,"57,910"
Out,Out,White Women,1997,"43,570"
Out,Out,White Men,1997,"60,530"
Out,Out,Black Women,1997,"37,900"
Out,Out,Black Men,1997,"45,460"
Out,Out,Asian Women,1997,"47,780"
Out,Out,Asian Men,1997,"59,650"
Out,Out,Hispanic Women,1997,"32,630"
Out,Out,Hispanic Men,1997,"37,170"
Out,Out,"White, non-Hispanic Women",1997,"44,570"
Out,Out,"White, non-Hispanic Men",1997,"62,940"
Out,Out,Total Women,1998,"43,880"
Out,Out,Total Men,1998,"59,970"
Out,Out,White Women,1998,"44,530"
Out,Out,White Men,1998,"61,370"
Out,Out,Black Women,1998,"38,430"
Out,Out,Black Men,1998,"45,900"
Out,Out,Asian Women,1998,"45,930"
Out,Out,Asian Men,1998,"59,090"
Out,Out,Hispanic Women,1998,"32,610"
Out,Out,Hispanic Men,1998,"37,810"
Out,Out,"White, non-Hispanic Women",1998,"45,610"
Out,Out,"White, non-Hispanic Men",1998,"64,020"
Out,Out,Total Women,1999,"43,740"
Out,Out,Total Men,1999,"60,490"
Out,Out,White Women,1999,"44,290"
Out,Out,White Men,1999,"61,820"
Out,Out,Black Women,1999,"40,270"
Out,Out,Black Men,1999,"49,430"
Out,Out,Asian Women,1999,"47,490"
Out,Out,Asian Men,1999,"61,330"
Out,Out,Hispanic Women,1999,"32,220"
Out,Out,Hispanic Men,1999,"37,270"
Out,Out,"White, non-Hispanic Women",1999,"45,600"
Out,Out,"White, non-Hispanic Men",1999,"67,230"
Out,Out,Total Women,2000,"44,130"
Out,Out,Total Men,2000,"59,860"
Out,Out,White Women,2000,"45,380"
Out,Out,White Men,2000,"62,080"
Out,Out,Black Women,2000,"40,320"
Out,Out,Black Men,2000,"48,370"
Out,Out,Asian Women,2000,"48,970"
Out,Out,Asian Men,2000,"65,170"
Out,Out,Hispanic Women,2000,"33,200"
Out,Out,Hispanic Men,2000,"38,210"
Out,Out,"White, non-Hispanic Women",2000,"47,940"
Out,Out,"White, non-Hispanic Men",2000,"66,280"
Out,Out,Total Women,2001,"45,910"
Out,Out,Total Men,2001,"60,150"
Out,Out,White Women,2001,"47,030"
Out,Out,White Men,2001,"62,600"
Out,Out,Black Women,2001,"41,790"
Out,Out,Black Men,2001,"49,270"
Out,Out,Asian Women,2001,"48,220"
Out,Out,Asian Men,2001,"65,770"
Out,Out,Hispanic Women,2001,"33,780"
Out,Out,Hispanic Men,2001,"39,420"
Out,Out,"White, non-Hispanic Women",2001,"48,400"
Out,Out,"White, non-Hispanic Men",2001,"65,500"
Out,Out,Total Women,2002,"46,880"
Out,Out,Total Men,2002,"61,200"
Out,Out,White Women,2002,"47,430"
Out,Out,White Men,2002,"62,920"
Out,Out,Black Women,2002,"41,720"
Out,Out,Black Men,2002,"48,760"
Out,Out,Asian Women,2002,"48,790"
Out,Out,Asian Men,2002,"65,000"
Out,Out,Hispanic Women,2002,"34,010"
Out,Out,Hispanic Men,2002,"40,310"
Out,Out,"White, non-Hispanic Women",2002,"48,740"
Out,Out,"White, non-Hispanic Men",2002,"65,930"
Out,Out,Total Women,2003,"46,710"
Out,Out,Total Men,2003,"61,830"
Out,Out,White Women,2003,"47,390"
Out,Out,White Men,2003,"62,660"
Out,Out,Black Women,2003,"41,000"
Out,Out,Black Men,2003,"49,020"
Out,Out,Asian Women,2003,"49,550"
Out,Out,Asian Men,2003,"69,300"
Out,Out,Hispanic Women,2003,"34,000"
Out,Out,Hispanic Men,2003,"39,660"
Out,Out,"White, non-Hispanic Women",2003,"48,740"
Out,Out,"White, non-Hispanic Men",2003,"68,050"
Out,Out,Total Women,2004,"46,340"
Out,Out,Total Men,2004,"60,510"
Out,Out,White Women,2004,"46,920"
Out,Out,White Men,2004,"61,630"
Out,Out,Black Women,2004,"41,140"
Out,Out,Black Men,2004,"46,410"
Out,Out,Asian Women,2004,"53,400"
Out,Out,Asian Men,2004,"68,220"
Out,Out,Hispanic Women,2004,"34,820"
Out,Out,Hispanic Men,2004,"39,540"
Out,Out,"White, non-Hispanic Women",2004,"48,240"
Out,Out,"White, non-Hispanic Men",2004,"67,550"
Out,Out,Total Women,2005,"45,920"
Out,Out,Total Men,2005,"59,660"
Out,Out,White Women,2005,"46,380"
Out,Out,White Men,2005,"60,520"
Out,Out,Black Women,2005,"42,770"
Out,Out,Black Men,2005,"47,680"
Out,Out,Asian Women,2005,"52,030"
Out,Out,Asian Men,2005,"69,290"
Out,Out,Hispanic Women,2005,"34,910"
