State,Years,Percentage,Race
Florida,2022,91.80%,White Alone
Florida,2021,92.10%,White Alone
Florida,2020,89.00%,White Alone
Florida,2019,89.80%,White Alone
Florida,2018,90.50%,White Alone
Florida,2017,87.00%,White Alone
Florida,2016,88.10%,White Alone
Florida,2015,88.50%,White Alone
Georgia,2022,38.00%,White Alone
Georgia,2021,37.00%,White Alone
Georgia,2020,32.80%,White Alone
Georgia,2019,32.70%,White Alone
Georgia,2018,32.50%,White Alone
Georgia,2017,31.60%,White Alone
Georgia,2016,30.80%,White Alone
Georgia,2015,30.80%,White Alone
Hawaii,2022,37.90%,White Alone
Hawaii,2021,37.40%,White Alone
Hawaii,2020,34.70%,White Alone
Hawaii,2019,34.90%,White Alone
Hawaii,2018,34.70%,White Alone
Hawaii,2017,33.50%,White Alone
Hawaii,2016,32.60%,White Alone
Hawaii,2015,32.90%,White Alone
Idaho,2022,44.30%,White Alone
Idaho,2021,46.00%,White Alone
Idaho,2020,43.60%,White Alone
Idaho,2019,43.10%,White Alone
Idaho,2018,43.20%,White Alone
Idaho,2017,43.40%,White Alone
Idaho,2016,41.50%,White Alone
Idaho,2015,41.10%,White Alone
Illinois,2022,33.50%,White Alone
Illinois,2021,31.30%,White Alone
Illinois,2020,29.80%,White Alone
Illinois,2019,29.10%,White Alone
Illinois,2018,27.80%,White Alone
Illinois,2017,27.80%,White Alone
Illinois,2016,29.10%,White Alone
Illinois,2015,27.70%,White Alone
Indiana,2022,40.50%,White Alone
Indiana,2021,40.10%,White Alone
Indiana,2020,36.70%,White Alone
Indiana,2019,36.60%,White Alone
Indiana,2018,36.00%,White Alone
Indiana,2017,35.90%,White Alone
Indiana,2016,35.10%,White Alone
Indiana,2015,34.60%,White Alone
Iowa,2022,29.40%,White Alone
Iowa,2021,28.40%,White Alone
Iowa,2020,27.10%,White Alone
Iowa,2019,26.60%,White Alone
Iowa,2018,26.90%,White Alone
Iowa,2017,26.50%,White Alone
Iowa,2016,25.80%,White Alone
Iowa,2015,24.80%,White Alone
Kansas,2022,31.10%,White Alone
Kansas,2021,29.40%,White Alone
Kansas,2020,28.10%,White Alone
Kansas,2019,27.80%,White Alone
Kansas,2018,27.60%,White Alone
Kansas,2017,28.00%,White Alone
Kansas,2016,27.20%,White Alone
Kansas,2015,26.20%,White Alone
Kentucky,2022,37.00%,White Alone
Kentucky,2021,36.90%,White Alone
Kentucky,2020,34.10%,White Alone
Kentucky,2019,33.70%,White Alone
Kentucky,2018,33.60%,White Alone
Kentucky,2017,34.30%,White Alone
Kentucky,2016,33.30%,White Alone
Kentucky,2015,32.40%,White Alone
Louisiana,2022,26.90%,White Alone
Louisiana,2021,25.70%,White Alone
Louisiana,2020,24.10%,White Alone
Louisiana,2019,23.80%,White Alone
Louisiana,2018,24.10%,White Alone
Louisiana,2017,23.00%,White Alone
Louisiana,2016,23.10%,White Alone
Louisiana,2015,22.40%,White Alone
Maine,2022,29.40%,White Alone
Maine,2021,30.10%,White Alone
Maine,2020,26.60%,White Alone
Maine,2019,26.80%,White Alone
Maine,2018,26.90%,White Alone
Maine,2017,26.30%,White Alone
Maine,2016,26.70%,White Alone
Maine,2015,25.70%,White Alone
Maryland,2022,33.40%,White Alone
Maryland,2021,33.80%,White Alone
Maryland,2020,29.70%,White Alone
Maryland,2019,30.50%,White Alone
Maryland,2018,29.30%,White Alone
Maryland,2017,29.30%,White Alone
Maryland,2016,27.80%,White Alone
Maryland,2015,28.80%,White Alone
Massachusetts,2022,48.50%,White Alone
Massachusetts,2021,47.80%,White Alone
Massachusetts,2020,45.00%,White Alone
Massachusetts,2019,45.00%,White Alone
Massachusetts,2018,45.30%,White Alone
Massachusetts,2017,43.60%,White Alone
Massachusetts,2016,43.00%,White Alone
Massachusetts,2015,43.00%,White Alone
Michigan,2022,48.90%,White Alone
Michigan,2021,49.10%,White Alone
Michigan,2020,45.60%,White Alone
Michigan,2019,45.60%,White Alone
Michigan,2018,45.20%,White Alone
Michigan,2017,44.20%,White Alone
Michigan,2016,43.80%,White Alone
Michigan,2015,43.00%,White Alone
Minnesota,2022,32.70%,White Alone
Minnesota,2021,31.70%,White Alone
Minnesota,2020,30.60%,White Alone
Minnesota,2019,30.30%,White Alone
Minnesota,2018,30.00%,White Alone
Minnesota,2017,29.70%,White Alone
Minnesota,2016,29.30%,White Alone
Minnesota,2015,28.70%,White Alone
Mississippi,2022,38.50%,White Alone
Mississippi,2021,39.00%,White Alone
Mississippi,2020,36.40%,White Alone
Mississippi,2019,36.60%,White Alone
Mississippi,2018,36.30%,White Alone
Mississippi,2017,36.00%,White Alone
Mississippi,2016,34.70%,White Alone
Mississippi,2015,34.50%,White Alone
Missouri,2022,26.60%,White Alone
Missouri,2021,25.80%,White Alone
Missouri,2020,24.90%,White Alone
Missouri,2019,24.40%,White Alone
Missouri,2018,25.60%,White Alone
Missouri,2017,24.20%,White Alone
Missouri,2016,24.10%,White Alone
Missouri,2015,23.40%,White Alone
Montana,2022,31.90%,White Alone
Montana,2021,31.60%,White Alone
Montana,2020,29.90%,White Alone
Montana,2019,30.00%,White Alone
Montana,2018,29.20%,White Alone
Montana,2017,29.10%,White Alone
Montana,2016,28.60%,White Alone
Montana,2015,27.70%,White Alone
Nebraska,2022,34.00%,White Alone
Nebraska,2021,34.90%,White Alone
Nebraska,2020,33.20%,White Alone
Nebraska,2019,33.60%,White Alone
Nebraska,2018,31.50%,White Alone
Nebraska,2017,32.10%,White Alone
Nebraska,2016,31.30%,White Alone
Nebraska,2015,30.80%,White Alone
Nevada,2022,35.10%,White Alone
Nevada,2021,34.50%,White Alone
Nevada,2020,32.00%,White Alone
Nevada,2019,32.60%,White Alone
Nevada,2018,32.00%,White Alone
Nevada,2017,31.10%,White Alone
Nevada,2016,30.00%,White Alone
Nevada,2015,29.70%,White Alone
New Hampshire,2022,31.90%,White Alone
New Hampshire,2021,31.90%,White Alone
New Hampshire,2020,27.40%,White Alone
New Hampshire,2019,26.60%,White Alone
New Hampshire,2018,27.10%,White Alone
New Hampshire,2017,26.90%,White Alone
New Hampshire,2016,24.10%,White Alone
New Hampshire,2015,25.60%,White Alone
New Jersey,2022,40.20%,White Alone
New Jersey,2021,39.30%,White Alone
New Jersey,2020,36.30%,White Alone
New Jersey,2019,35.10%,White Alone
New Jersey,2018,35.80%,White Alone
New Jersey,2017,35.10%,White Alone
New Jersey,2016,35.50%,White Alone
New Jersey,2015,35.20%,White Alone
New Mexico,2022,47.80%,White Alone
New Mexico,2021,47.50%,White Alone
New Mexico,2020,41.90%,White Alone
New Mexico,2019,42.10%,White Alone
New Mexico,2018,41.30%,White Alone
New Mexico,2017,40.10%,White Alone
New Mexico,2016,39.30%,White Alone
New Mexico,2015,39.00%,White Alone
New York,2022,38.20%,White Alone
New York,2021,39.80%,White Alone
New York,2020,30.40%,White Alone
New York,2019,29.20%,White Alone
New York,2018,29.60%,White Alone
New York,2017,28.10%,White Alone
New York,2016,29.60%,White Alone
New York,2015,28.20%,White Alone
North Carolina,2022,44.80%,White Alone
North Carolina,2021,44.80%,White Alone
North Carolina,2020,41.10%,White Alone
North Carolina,2019,41.40%,White Alone
North Carolina,2018,40.40%,White Alone
North Carolina,2017,39.50%,White Alone
North Carolina,2016,39.10%,White Alone
North Carolina,2015,38.10%,White Alone
North Dakota,2022,38.80%,White Alone
North Dakota,2021,37.30%,White Alone
North Dakota,2020,34.20%,White Alone
North Dakota,2019,34.20%,White Alone
North Dakota,2018,33.90%,White Alone
North Dakota,2017,33.40%,White Alone
North Dakota,2016,32.90%,White Alone
North Dakota,2015,31.60%,White Alone
Ohio,2022,28.50%,White Alone
Ohio,2021,31.00%,White Alone
Ohio,2020,28.50%,White Alone
Ohio,2019,28.00%,White Alone
Ohio,2018,26.60%,White Alone
Ohio,2017,28.30%,White Alone
Ohio,2016,28.00%,White Alone
Ohio,2015,27.40%,White Alone
Oklahoma,2022,32.00%,White Alone
Oklahoma,2021,31.10%,White Alone
Oklahoma,2020,29.10%,White Alone
Oklahoma,2019,29.60%,White Alone
Oklahoma,2018,29.10%,White Alone
Oklahoma,2017,28.40%,White Alone
Oklahoma,2016,28.30%,White Alone
Oklahoma,2015,27.50%,White Alone
Oregon,2022,30.60%,White Alone
Oregon,2021,29.50%,White Alone
Oregon,2020,27.20%,White Alone
Oregon,2019,27.00%,White Alone
Oregon,2018,26.70%,White Alone
Oregon,2017,26.20%,White Alone
Oregon,2016,26.30%,White Alone
Oregon,2015,26.10%,White Alone
Pennsylvania,2022,36.50%,White Alone
Pennsylvania,2021,36.50%,White Alone
Pennsylvania,2020,34.20%,White Alone
Pennsylvania,2019,33.70%,White Alone
Pennsylvania,2018,33.90%,White Alone
Pennsylvania,2017,33.30%,White Alone
Pennsylvania,2016,32.90%,White Alone
Pennsylvania,2015,32.20%,White Alone
Rhode Island,2022,35.80%,White Alone
Rhode Island,2021,35.60%,White Alone
Rhode Island,2020,33.00%,White Alone
Rhode Island,2019,32.80%,White Alone
Rhode Island,2018,32.50%,White Alone
Rhode Island,2017,32.00%,White Alone
Rhode Island,2016,31.60%,White Alone
Rhode Island,2015,30.80%,White Alone
South Carolina,2022,43.20%,White Alone
South Carolina,2021,40.10%,White Alone
South Carolina,2020,36.40%,White Alone
South Carolina,2019,35.70%,White Alone
South Carolina,2018,35.90%,White Alone
South Carolina,2017,33.50%,White Alone
South Carolina,2016,35.20%,White Alone
South Carolina,2015,34.70%,White Alone
South Dakota,2022,37.50%,White Alone
South Dakota,2021,35.50%,White Alone
South Dakota,2020,33.10%,White Alone
South Dakota,2019,33.60%,White Alone
South Dakota,2018,32.90%,White Alone
South Dakota,2017,32.50%,White Alone
South Dakota,2016,31.30%,White Alone
South Dakota,2015,31.90%,White Alone
Tennessee,2022,30.50%,White Alone
Tennessee,2021,31.60%,White Alone
Tennessee,2020,28.90%,White Alone
Tennessee,2019,30.10%,White Alone
Tennessee,2018,29.40%,White Alone
Tennessee,2017,29.20%,White Alone
Tennessee,2016,28.20%,White Alone
Tennessee,2015,27.70%,White Alone
Texas,2022,31.60%,White Alone
Texas,2021,31.30%,White Alone
Texas,2020,28.70%,White Alone
Texas,2019,28.90%,White Alone
Texas,2018,28.20%,White Alone
Texas,2017,28.40%,White Alone
Texas,2016,26.60%,White Alone
Texas,2015,26.70%,White Alone
Utah,2022,39.70%,White Alone
Utah,2021,39.30%,White Alone
Utah,2020,31.30%,White Alone
Utah,2019,30.60%,White Alone
Utah,2018,30.20%,White Alone
Utah,2017,29.50%,White Alone
Utah,2016,29.50%,White Alone
Utah,2015,28.70%,White Alone
Vermont,2022,42.40%,White Alone
Vermont,2021,41.60%,White Alone
Vermont,2020,38.60%,White Alone
Vermont,2019,38.30%,White Alone
Vermont,2018,38.60%,White Alone
Vermont,2017,38.90%,White Alone
Vermont,2016,36.30%,White Alone
Vermont,2015,35.70%,White Alone
Virginia,2022,40.30%,White Alone
Virginia,2021,40.60%,White Alone
Virginia,2020,36.10%,White Alone
Virginia,2019,35.30%,White Alone
Virginia,2018,35.10%,White Alone
Virginia,2017,34.60%,White Alone
Virginia,2016,33.70%,White Alone
Virginia,2015,34.50%,White Alone
Washington,2022,44.30%,White Alone
Washington,2021,44.30%,White Alone
Washington,2020,41.90%,White Alone
Washington,2019,41.50%,White Alone
Washington,2018,42.10%,White Alone
Washington,2017,41.20%,White Alone
Washington,2016,40.80%,White Alone
Washington,2015,39.70%,White Alone
West Virginia,2022,39.80%,White Alone
West Virginia,2021,38.90%,White Alone
West Virginia,2020,36.90%,White Alone
West Virginia,2019,37.10%,White Alone
West Virginia,2018,36.80%,White Alone
West Virginia,2017,35.80%,White Alone
West Virginia,2016,35.80%,White Alone
West Virginia,2015,34.90%,White Alone
Wisconsin,2022,23.20%,White Alone
Wisconsin,2021,22.90%,White Alone
Wisconsin,2020,19.80%,White Alone
Wisconsin,2019,19.60%,White Alone
Wisconsin,2018,20.80%,White Alone
Wisconsin,2017,18.80%,White Alone
Wisconsin,2016,20.00%,White Alone
Wisconsin,2015,18.70%,White Alone
Wyoming,2022,32.50%,White Alone
Wyoming,2021,31.80%,White Alone
Wyoming,2020,30.10%,White Alone
Wyoming,2019,30.50%,White Alone
Wyoming,2018,29.50%,White Alone
Wyoming,2017,29.90%,White Alone
Wyoming,2016,28.90%,White Alone
Wyoming,2015,28.10%,White Alone
Puerto Rico,2022,28.00%,White Alone
Puerto Rico,2021,28.80%,White Alone
Puerto Rico,2020,27.40%,White Alone
Puerto Rico,2019,28.10%,White Alone
Puerto Rico,2018,25.70%,White Alone
Puerto Rico,2017,26.50%,White Alone
Puerto Rico,2016,26.80%,White Alone
Puerto Rico,2015,26.60%,White Alone
Alabama,2022,31.40%,"White alone, not Hispanic or Latino"
Alabama,2021,30.50%,"White alone, not Hispanic or Latino"
Alabama,2020,29.10%,"White alone, not Hispanic or Latino"
Alabama,2019,28.70%,"White alone, not Hispanic or Latino"
Alabama,2018,28.50%,"White alone, not Hispanic or Latino"
Alabama,2017,29.00%,"White alone, not Hispanic or Latino"
Alabama,2016,28.20%,"White alone, not Hispanic or Latino"
Alabama,2015,27.00%,"White alone, not Hispanic or Latino"
Alaska,2022,34.30%,"White alone, not Hispanic or Latino"
Alaska,2021,34.20%,"White alone, not Hispanic or Latino"
Alaska,2020,32.60%,"White alone, not Hispanic or Latino"
Alaska,2019,33.00%,"White alone, not Hispanic or Latino"
Alaska,2018,33.90%,"White alone, not Hispanic or Latino"
Alaska,2017,31.20%,"White alone, not Hispanic or Latino"
Alaska,2016,32.50%,"White alone, not Hispanic or Latino"
Alaska,2015,34.30%,"White alone, not Hispanic or Latino"
Arizona,2022,40.40%,"White alone, not Hispanic or Latino"
Arizona,2021,39.60%,"White alone, not Hispanic or Latino"
Arizona,2020,37.10%,"White alone, not Hispanic or Latino"
Arizona,2019,36.90%,"White alone, not Hispanic or Latino"
Arizona,2018,36.90%,"White alone, not Hispanic or Latino"
Arizona,2017,36.70%,"White alone, not Hispanic or Latino"
Arizona,2016,36.20%,"White alone, not Hispanic or Latino"
Arizona,2015,35.00%,"White alone, not Hispanic or Latino"
Arkansas,2022,25.80%,"White alone, not Hispanic or Latino"
Arkansas,2021,26.30%,"White alone, not Hispanic or Latino"
Arkansas,2020,24.40%,"White alone, not Hispanic or Latino"
Arkansas,2019,23.80%,"White alone, not Hispanic or Latino"
Arkansas,2018,24.50%,"White alone, not Hispanic or Latino"
Arkansas,2017,24.60%,"White alone, not Hispanic or Latino"
Arkansas,2016,23.50%,"White alone, not Hispanic or Latino"
Arkansas,2015,22.80%,"White alone, not Hispanic or Latino"
California,2022,48.10%,"White alone, not Hispanic or Latino"
California,2021,47.50%,"White alone, not Hispanic or Latino"
California,2020,45.50%,"White alone, not Hispanic or Latino"
California,2019,45.80%,"White alone, not Hispanic or Latino"
California,2018,45.20%,"White alone, not Hispanic or Latino"
California,2017,44.80%,"White alone, not Hispanic or Latino"
California,2016,44.20%,"White alone, not Hispanic or Latino"
California,2015,43.30%,"White alone, not Hispanic or Latino"
Colorado,2022,51.50%,"White alone, not Hispanic or Latino"
Colorado,2021,49.40%,"White alone, not Hispanic or Latino"
Colorado,2020,47.30%,"White alone, not Hispanic or Latino"
Colorado,2019,48.40%,"White alone, not Hispanic or Latino"
Colorado,2018,47.40%,"White alone, not Hispanic or Latino"
Colorado,2017,47.10%,"White alone, not Hispanic or Latino"
Colorado,2016,46.00%,"White alone, not Hispanic or Latino"
Colorado,2015,45.40%,"White alone, not Hispanic or Latino"
Connecticut,2022,45.60%,"White alone, not Hispanic or Latino"
Connecticut,2021,46.50%,"White alone, not Hispanic or Latino"
Connecticut,2020,44.40%,"White alone, not Hispanic or Latino"
Connecticut,2019,44.40%,"White alone, not Hispanic or Latino"
Connecticut,2018,43.50%,"White alone, not Hispanic or Latino"
Connecticut,2017,43.30%,"White alone, not Hispanic or Latino"
Connecticut,2016,43.00%,"White alone, not Hispanic or Latino"
Connecticut,2015,43.00%,"White alone, not Hispanic or Latino"
Delaware,2022,38.90%,"White alone, not Hispanic or Latino"
Delaware,2021,37.40%,"White alone, not Hispanic or Latino"
Delaware,2020,34.40%,"White alone, not Hispanic or Latino"
Delaware,2019,35.50%,"White alone, not Hispanic or Latino"
Delaware,2018,33.60%,"White alone, not Hispanic or Latino"
Delaware,2017,34.50%,"White alone, not Hispanic or Latino"
Delaware,2016,33.60%,"White alone, not Hispanic or Latino"
Delaware,2015,32.80%,"White alone, not Hispanic or Latino"
Florida,2022,92.30%,"White alone, not Hispanic or Latino"
Florida,2021,92.20%,"White alone, not Hispanic or Latino"
Florida,2020,91.30%,"White alone, not Hispanic or Latino"
Florida,2019,92.60%,"White alone, not Hispanic or Latino"
Florida,2018,92.60%,"White alone, not Hispanic or Latino"
Florida,2017,89.60%,"White alone, not Hispanic or Latino"
Florida,2016,91.30%,"White alone, not Hispanic or Latino"
Florida,2015,90.70%,"White alone, not Hispanic or Latino"
Georgia,2022,38.80%,"White alone, not Hispanic or Latino"
Georgia,2021,37.60%,"White alone, not Hispanic or Latino"
Georgia,2020,35.20%,"White alone, not Hispanic or Latino"
Georgia,2019,35.50%,"White alone, not Hispanic or Latino"
Georgia,2018,34.90%,"White alone, not Hispanic or Latino"
Georgia,2017,34.40%,"White alone, not Hispanic or Latino"
Georgia,2016,33.70%,"White alone, not Hispanic or Latino"
Georgia,2015,33.50%,"White alone, not Hispanic or Latino"
Hawaii,2022,38.20%,"White alone, not Hispanic or Latino"
Hawaii,2021,37.60%,"White alone, not Hispanic or Latino"
Hawaii,2020,35.90%,"White alone, not Hispanic or Latino"
Hawaii,2019,36.20%,"White alone, not Hispanic or Latino"
Hawaii,2018,36.20%,"White alone, not Hispanic or Latino"
Hawaii,2017,35.00%,"White alone, not Hispanic or Latino"
Hawaii,2016,33.90%,"White alone, not Hispanic or Latino"
Hawaii,2015,34.10%,"White alone, not Hispanic or Latino"
Idaho,2022,45.20%,"White alone, not Hispanic or Latino"
Idaho,2021,46.80%,"White alone, not Hispanic or Latino"
Idaho,2020,45.20%,"White alone, not Hispanic or Latino"
Idaho,2019,44.20%,"White alone, not Hispanic or Latino"
Idaho,2018,44.10%,"White alone, not Hispanic or Latino"
Idaho,2017,45.60%,"White alone, not Hispanic or Latino"
Idaho,2016,43.60%,"White alone, not Hispanic or Latino"
Idaho,2015,42.70%,"White alone, not Hispanic or Latino"
Illinois,2022,33.80%,"White alone, not Hispanic or Latino"
Illinois,2021,31.70%,"White alone, not Hispanic or Latino"
Illinois,2020,30.90%,"White alone, not Hispanic or Latino"
Illinois,2019,30.10%,"White alone, not Hispanic or Latino"
Illinois,2018,29.10%,"White alone, not Hispanic or Latino"
Illinois,2017,29.10%,"White alone, not Hispanic or Latino"
Illinois,2016,30.20%,"White alone, not Hispanic or Latino"
Illinois,2015,29.30%,"White alone, not Hispanic or Latino"
Indiana,2022,40.90%,"White alone, not Hispanic or Latino"
Indiana,2021,40.50%,"White alone, not Hispanic or Latino"
Indiana,2020,39.20%,"White alone, not Hispanic or Latino"
Indiana,2019,39.50%,"White alone, not Hispanic or Latino"
Indiana,2018,39.00%,"White alone, not Hispanic or Latino"
Indiana,2017,38.70%,"White alone, not Hispanic or Latino"
Indiana,2016,37.80%,"White alone, not Hispanic or Latino"
Indiana,2015,37.40%,"White alone, not Hispanic or Latino"
Iowa,2022,29.60%,"White alone, not Hispanic or Latino"
Iowa,2021,28.50%,"White alone, not Hispanic or Latino"
Iowa,2020,27.50%,"White alone, not Hispanic or Latino"
Iowa,2019,26.90%,"White alone, not Hispanic or Latino"
Iowa,2018,27.40%,"White alone, not Hispanic or Latino"
Iowa,2017,27.00%,"White alone, not Hispanic or Latino"
Iowa,2016,26.20%,"White alone, not Hispanic or Latino"
Iowa,2015,25.30%,"White alone, not Hispanic or Latino"
Kansas,2022,31.20%,"White alone, not Hispanic or Latino"
Kansas,2021,29.50%,"White alone, not Hispanic or Latino"
Kansas,2020,28.60%,"White alone, not Hispanic or Latino"
Kansas,2019,28.30%,"White alone, not Hispanic or Latino"
Kansas,2018,28.10%,"White alone, not Hispanic or Latino"
Kansas,2017,28.50%,"White alone, not Hispanic or Latino"
Kansas,2016,27.70%,"White alone, not Hispanic or Latino"
Kansas,2015,26.60%,"White alone, not Hispanic or Latino"
Kentucky,2022,37.50%,"White alone, not Hispanic or Latino"
Kentucky,2021,37.30%,"White alone, not Hispanic or Latino"
Kentucky,2020,35.60%,"White alone, not Hispanic or Latino"
Kentucky,2019,35.50%,"White alone, not Hispanic or Latino"
Kentucky,2018,35.40%,"White alone, not Hispanic or Latino"
Kentucky,2017,35.80%,"White alone, not Hispanic or Latino"
Kentucky,2016,35.00%,"White alone, not Hispanic or Latino"
Kentucky,2015,33.90%,"White alone, not Hispanic or Latino"
Louisiana,2022,26.90%,"White alone, not Hispanic or Latino"
Louisiana,2021,25.70%,"White alone, not Hispanic or Latino"
Louisiana,2020,24.20%,"White alone, not Hispanic or Latino"
Louisiana,2019,23.90%,"White alone, not Hispanic or Latino"
Louisiana,2018,24.20%,"White alone, not Hispanic or Latino"
Louisiana,2017,23.00%,"White alone, not Hispanic or Latino"
Louisiana,2016,23.10%,"White alone, not Hispanic or Latino"
Louisiana,2015,22.50%,"White alone, not Hispanic or Latino"
Maine,2022,29.40%,"White alone, not Hispanic or Latino"
Maine,2021,30.20%,"White alone, not Hispanic or Latino"
Maine,2020,27.00%,"White alone, not Hispanic or Latino"
Maine,2019,27.30%,"White alone, not Hispanic or Latino"
Maine,2018,27.20%,"White alone, not Hispanic or Latino"
Maine,2017,26.80%,"White alone, not Hispanic or Latino"
Maine,2016,27.00%,"White alone, not Hispanic or Latino"
Maine,2015,26.20%,"White alone, not Hispanic or Latino"
Maryland,2022,33.50%,"White alone, not Hispanic or Latino"
Maryland,2021,33.70%,"White alone, not Hispanic or Latino"
Maryland,2020,29.60%,"White alone, not Hispanic or Latino"
Maryland,2019,30.50%,"White alone, not Hispanic or Latino"
Maryland,2018,29.30%,"White alone, not Hispanic or Latino"
Maryland,2017,29.20%,"White alone, not Hispanic or Latino"
Maryland,2016,27.80%,"White alone, not Hispanic or Latino"
Maryland,2015,28.60%,"White alone, not Hispanic or Latino"
Massachusetts,2022,48.70%,"White alone, not Hispanic or Latino"
Massachusetts,2021,48.00%,"White alone, not Hispanic or Latino"
Massachusetts,2020,46.10%,"White alone, not Hispanic or Latino"
Massachusetts,2019,46.30%,"White alone, not Hispanic or Latino"
Massachusetts,2018,46.30%,"White alone, not Hispanic or Latino"
Massachusetts,2017,44.70%,"White alone, not Hispanic or Latino"
Massachusetts,2016,44.40%,"White alone, not Hispanic or Latino"
Massachusetts,2015,44.10%,"White alone, not Hispanic or Latino"
Michigan,2022,49.40%,"White alone, not Hispanic or Latino"
Michigan,2021,49.60%,"White alone, not Hispanic or Latino"
Michigan,2020,47.00%,"White alone, not Hispanic or Latino"
Michigan,2019,47.30%,"White alone, not Hispanic or Latino"
Michigan,2018,46.70%,"White alone, not Hispanic or Latino"
Michigan,2017,46.00%,"White alone, not Hispanic or Latino"
Michigan,2016,45.30%,"White alone, not Hispanic or Latino"
Michigan,2015,44.40%,"White alone, not Hispanic or Latino"
Minnesota,2022,32.80%,"White alone, not Hispanic or Latino"
Minnesota,2021,31.80%,"White alone, not Hispanic or Latino"
Minnesota,2020,30.90%,"White alone, not Hispanic or Latino"
Minnesota,2019,30.70%,"White alone, not Hispanic or Latino"
Minnesota,2018,30.40%,"White alone, not Hispanic or Latino"
Minnesota,2017,30.20%,"White alone, not Hispanic or Latino"
Minnesota,2016,29.60%,"White alone, not Hispanic or Latino"
Minnesota,2015,29.00%,"White alone, not Hispanic or Latino"
Mississippi,2022,38.60%,"White alone, not Hispanic or Latino"
Mississippi,2021,39.10%,"White alone, not Hispanic or Latino"
Mississippi,2020,36.80%,"White alone, not Hispanic or Latino"
Mississippi,2019,36.90%,"White alone, not Hispanic or Latino"
Mississippi,2018,36.70%,"White alone, not Hispanic or Latino"
Mississippi,2017,36.40%,"White alone, not Hispanic or Latino"
Mississippi,2016,35.10%,"White alone, not Hispanic or Latino"
Mississippi,2015,34.90%,"White alone, not Hispanic or Latino"
Missouri,2022,26.60%,"White alone, not Hispanic or Latino"
Missouri,2021,25.90%,"White alone, not Hispanic or Latino"
Missouri,2020,25.10%,"White alone, not Hispanic or Latino"
Missouri,2019,24.60%,"White alone, not Hispanic or Latino"
Missouri,2018,25.80%,"White alone, not Hispanic or Latino"
Missouri,2017,24.40%,"White alone, not Hispanic or Latino"
Missouri,2016,24.40%,"White alone, not Hispanic or Latino"
Missouri,2015,23.70%,"White alone, not Hispanic or Latino"
Montana,2022,31.90%,"White alone, not Hispanic or Latino"
Montana,2021,31.60%,"White alone, not Hispanic or Latino"
Montana,2020,30.00%,"White alone, not Hispanic or Latino"
Montana,2019,30.20%,"White alone, not Hispanic or Latino"
Montana,2018,29.30%,"White alone, not Hispanic or Latino"
Montana,2017,29.20%,"White alone, not Hispanic or Latino"
Montana,2016,28.80%,"White alone, not Hispanic or Latino"
Montana,2015,28.00%,"White alone, not Hispanic or Latino"
Nebraska,2022,34.10%,"White alone, not Hispanic or Latino"
Nebraska,2021,35.00%,"White alone, not Hispanic or Latino"
Nebraska,2020,33.40%,"White alone, not Hispanic or Latino"
Nebraska,2019,33.60%,"White alone, not Hispanic or Latino"
Nebraska,2018,31.80%,"White alone, not Hispanic or Latino"
Nebraska,2017,32.50%,"White alone, not Hispanic or Latino"
