State,Years,Male_P_Bach,Female_P_Bach,Race
Nevada,2019,32.60%,35.90%,White Alone
Nevada,2018,32.00%,34.70%,White Alone
Nevada,2017,31.10%,33.80%,White Alone
Nevada,2016,30.00%,34.20%,White Alone
Nevada,2015,29.70%,31.80%,White Alone
New Hampshire,2022,31.90%,32.00%,White Alone
New Hampshire,2021,31.90%,32.70%,White Alone
New Hampshire,2020,27.40%,26.80%,White Alone
New Hampshire,2019,26.60%,27.10%,White Alone
New Hampshire,2018,27.10%,26.30%,White Alone
New Hampshire,2017,26.90%,26.00%,White Alone
New Hampshire,2016,24.10%,24.60%,White Alone
New Hampshire,2015,25.60%,24.20%,White Alone
New Jersey,2022,40.20%,42.00%,White Alone
New Jersey,2021,39.30%,41.10%,White Alone
New Jersey,2020,36.30%,38.40%,White Alone
New Jersey,2019,35.10%,38.90%,White Alone
New Jersey,2018,35.80%,37.50%,White Alone
New Jersey,2017,35.10%,38.00%,White Alone
New Jersey,2016,35.50%,37.10%,White Alone
New Jersey,2015,35.20%,35.30%,White Alone
New Mexico,2022,47.80%,48.00%,White Alone
New Mexico,2021,47.50%,47.10%,White Alone
New Mexico,2020,41.90%,41.80%,White Alone
New Mexico,2019,42.10%,42.00%,White Alone
New Mexico,2018,41.30%,41.90%,White Alone
New Mexico,2017,40.10%,40.00%,White Alone
New Mexico,2016,39.30%,39.20%,White Alone
New Mexico,2015,39.00%,38.00%,White Alone
New York,2022,38.20%,41.40%,White Alone
New York,2021,39.80%,40.70%,White Alone
New York,2020,30.40%,32.60%,White Alone
New York,2019,29.20%,32.20%,White Alone
New York,2018,29.60%,31.30%,White Alone
New York,2017,28.10%,30.40%,White Alone
New York,2016,29.60%,30.90%,White Alone
New York,2015,28.20%,30.90%,White Alone
North Carolina,2022,44.80%,47.50%,White Alone
North Carolina,2021,44.80%,47.40%,White Alone
North Carolina,2020,41.10%,42.60%,White Alone
North Carolina,2019,41.40%,43.20%,White Alone
North Carolina,2018,40.40%,42.40%,White Alone
North Carolina,2017,39.50%,41.40%,White Alone
North Carolina,2016,39.10%,40.50%,White Alone
North Carolina,2015,38.10%,39.40%,White Alone
North Dakota,2022,38.80%,40.70%,White Alone
North Dakota,2021,37.30%,40.10%,White Alone
North Dakota,2020,34.20%,35.50%,White Alone
North Dakota,2019,34.20%,35.90%,White Alone
North Dakota,2018,33.90%,35.40%,White Alone
North Dakota,2017,33.40%,34.60%,White Alone
North Dakota,2016,32.90%,33.50%,White Alone
North Dakota,2015,31.60%,32.70%,White Alone
Ohio,2022,28.50%,37.70%,White Alone
Ohio,2021,31.00%,34.60%,White Alone
Ohio,2020,28.50%,34.90%,White Alone
Ohio,2019,28.00%,35.40%,White Alone
Ohio,2018,26.60%,34.50%,White Alone
Ohio,2017,28.30%,34.00%,White Alone
Ohio,2016,28.00%,33.70%,White Alone
Ohio,2015,27.40%,32.40%,White Alone
Oklahoma,2022,32.00%,34.30%,White Alone
Oklahoma,2021,31.10%,32.50%,White Alone
Oklahoma,2020,29.10%,30.30%,White Alone
Oklahoma,2019,29.60%,30.90%,White Alone
Oklahoma,2018,29.10%,30.60%,White Alone
Oklahoma,2017,28.40%,29.20%,White Alone
Oklahoma,2016,28.30%,28.70%,White Alone
Oklahoma,2015,27.50%,27.60%,White Alone
Oregon,2022,30.60%,31.60%,White Alone
Oregon,2021,29.50%,30.50%,White Alone
Oregon,2020,27.20%,28.20%,White Alone
Oregon,2019,27.00%,28.50%,White Alone
Oregon,2018,26.70%,27.30%,White Alone
Oregon,2017,26.20%,28.00%,White Alone
Oregon,2016,26.30%,27.10%,White Alone
Oregon,2015,26.10%,26.10%,White Alone
Pennsylvania,2022,36.50%,38.90%,White Alone
Pennsylvania,2021,36.50%,39.10%,White Alone
Pennsylvania,2020,34.20%,35.20%,White Alone
Pennsylvania,2019,33.70%,35.50%,White Alone
Pennsylvania,2018,33.90%,35.00%,White Alone
Pennsylvania,2017,33.30%,34.40%,White Alone
Pennsylvania,2016,32.90%,33.40%,White Alone
Pennsylvania,2015,32.20%,32.60%,White Alone
Rhode Island,2022,35.80%,37.40%,White Alone
Rhode Island,2021,35.60%,36.80%,White Alone
Rhode Island,2020,33.00%,33.70%,White Alone
Rhode Island,2019,32.80%,34.00%,White Alone
Rhode Island,2018,32.50%,33.20%,White Alone
Rhode Island,2017,32.00%,32.70%,White Alone
Rhode Island,2016,31.60%,31.70%,White Alone
Rhode Island,2015,30.80%,30.60%,White Alone
South Carolina,2022,43.20%,45.30%,White Alone
South Carolina,2021,40.10%,41.50%,White Alone
South Carolina,2020,36.40%,37.10%,White Alone
South Carolina,2019,35.70%,37.60%,White Alone
South Carolina,2018,35.90%,35.90%,White Alone
South Carolina,2017,33.50%,35.50%,White Alone
South Carolina,2016,35.20%,36.40%,White Alone
South Carolina,2015,34.70%,34.10%,White Alone
South Dakota,2022,37.50%,37.70%,White Alone
South Dakota,2021,35.50%,35.80%,White Alone
South Dakota,2020,33.10%,33.60%,White Alone
South Dakota,2019,33.60%,34.30%,White Alone
South Dakota,2018,32.90%,32.90%,White Alone
South Dakota,2017,32.50%,32.70%,White Alone
South Dakota,2016,31.30%,31.40%,White Alone
South Dakota,2015,31.90%,30.30%,White Alone
Tennessee,2022,30.50%,36.40%,White Alone
Tennessee,2021,31.60%,35.20%,White Alone
Tennessee,2020,28.90%,32.90%,White Alone
Tennessee,2019,30.10%,32.80%,White Alone
Tennessee,2018,29.40%,32.30%,White Alone
Tennessee,2017,29.20%,30.60%,White Alone
Tennessee,2016,28.20%,33.10%,White Alone
Tennessee,2015,27.70%,30.60%,White Alone
Texas,2022,31.60%,33.50%,White Alone
Texas,2021,31.30%,32.90%,White Alone
Texas,2020,28.70%,29.50%,White Alone
Texas,2019,28.90%,30.50%,White Alone
Texas,2018,28.20%,28.70%,White Alone
Texas,2017,28.40%,28.10%,White Alone
Texas,2016,26.60%,27.30%,White Alone
Texas,2015,26.70%,26.80%,White Alone
Utah,2022,39.70%,40.20%,White Alone
Utah,2021,39.30%,39.40%,White Alone
Utah,2020,31.30%,31.70%,White Alone
Utah,2019,30.60%,31.00%,White Alone
Utah,2018,30.20%,30.70%,White Alone
Utah,2017,29.50%,30.10%,White Alone
Utah,2016,29.50%,29.10%,White Alone
Utah,2015,28.70%,28.70%,White Alone
Vermont,2022,42.40%,38.40%,White Alone
Vermont,2021,41.60%,36.70%,White Alone
Vermont,2020,38.60%,33.60%,White Alone
Vermont,2019,38.30%,33.30%,White Alone
Vermont,2018,38.60%,34.00%,White Alone
Vermont,2017,38.90%,33.20%,White Alone
Vermont,2016,36.30%,31.50%,White Alone
Vermont,2015,35.70%,30.10%,White Alone
Virginia,2022,40.30%,47.60%,White Alone
Virginia,2021,40.60%,48.20%,White Alone
Virginia,2020,36.10%,42.80%,White Alone
Virginia,2019,35.30%,42.20%,White Alone
Virginia,2018,35.10%,40.90%,White Alone
Virginia,2017,34.60%,41.70%,White Alone
Virginia,2016,33.70%,39.10%,White Alone
Virginia,2015,34.50%,39.60%,White Alone
Washington,2022,44.30%,45.60%,White Alone
Washington,2021,44.30%,45.00%,White Alone
Washington,2020,41.90%,41.90%,White Alone
Washington,2019,41.50%,42.50%,White Alone
Washington,2018,42.10%,42.00%,White Alone
Washington,2017,41.20%,40.90%,White Alone
Washington,2016,40.80%,40.40%,White Alone
Washington,2015,39.70%,39.00%,White Alone
West Virginia,2022,39.80%,41.00%,White Alone
West Virginia,2021,38.90%,40.30%,White Alone
West Virginia,2020,36.90%,36.90%,White Alone
West Virginia,2019,37.10%,37.20%,White Alone
West Virginia,2018,36.80%,36.80%,White Alone
West Virginia,2017,35.80%,35.70%,White Alone
West Virginia,2016,35.80%,35.40%,White Alone
West Virginia,2015,34.90%,34.10%,White Alone
Wisconsin,2022,23.20%,26.40%,White Alone
Wisconsin,2021,22.90%,25.40%,White Alone
Wisconsin,2020,19.80%,22.20%,White Alone
Wisconsin,2019,19.60%,22.20%,White Alone
Wisconsin,2018,20.80%,21.70%,White Alone
Wisconsin,2017,18.80%,21.20%,White Alone
Wisconsin,2016,20.00%,20.90%,White Alone
Wisconsin,2015,18.70%,19.90%,White Alone
Wyoming,2022,32.50%,36.90%,White Alone
Wyoming,2021,31.80%,36.20%,White Alone
Wyoming,2020,30.10%,33.50%,White Alone
Wyoming,2019,30.50%,34.20%,White Alone
Wyoming,2018,29.50%,32.60%,White Alone
Wyoming,2017,29.90%,32.80%,White Alone
Wyoming,2016,28.90%,31.90%,White Alone
Wyoming,2015,28.10%,30.40%,White Alone
Puerto Rico,2022,28.00%,33.30%,White Alone
Puerto Rico,2021,28.80%,32.30%,White Alone
Puerto Rico,2020,27.40%,29.70%,White Alone
Puerto Rico,2019,28.10%,31.60%,White Alone
Puerto Rico,2018,25.70%,28.80%,White Alone
Puerto Rico,2017,26.50%,29.80%,White Alone
Puerto Rico,2016,26.80%,27.90%,White Alone
Puerto Rico,2015,26.60%,27.20%,White Alone
Alabama,2022,31.40%,32.00%,"White alone, not Hispanic or Latino"
Alabama,2021,30.50%,30.20%,"White alone, not Hispanic or Latino"
Alabama,2020,29.10%,28.80%,"White alone, not Hispanic or Latino"
Alabama,2019,28.70%,28.90%,"White alone, not Hispanic or Latino"
Alabama,2018,28.50%,28.10%,"White alone, not Hispanic or Latino"
Alabama,2017,29.00%,28.30%,"White alone, not Hispanic or Latino"
Alabama,2016,28.20%,26.40%,"White alone, not Hispanic or Latino"
Alabama,2015,27.00%,26.90%,"White alone, not Hispanic or Latino"
Alaska,2022,34.30%,41.30%,"White alone, not Hispanic or Latino"
Alaska,2021,34.20%,44.50%,"White alone, not Hispanic or Latino"
Alaska,2020,32.60%,40.60%,"White alone, not Hispanic or Latino"
Alaska,2019,33.00%,40.80%,"White alone, not Hispanic or Latino"
Alaska,2018,33.90%,39.40%,"White alone, not Hispanic or Latino"
Alaska,2017,31.20%,38.60%,"White alone, not Hispanic or Latino"
Alaska,2016,32.50%,41.40%,"White alone, not Hispanic or Latino"
Alaska,2015,34.30%,39.10%,"White alone, not Hispanic or Latino"
Arizona,2022,40.40%,38.90%,"White alone, not Hispanic or Latino"
Arizona,2021,39.60%,38.70%,"White alone, not Hispanic or Latino"
Arizona,2020,37.10%,36.10%,"White alone, not Hispanic or Latino"
Arizona,2019,36.90%,36.30%,"White alone, not Hispanic or Latino"
Arizona,2018,36.90%,35.30%,"White alone, not Hispanic or Latino"
Arizona,2017,36.70%,35.00%,"White alone, not Hispanic or Latino"
Arizona,2016,36.20%,34.40%,"White alone, not Hispanic or Latino"
Arizona,2015,35.00%,32.90%,"White alone, not Hispanic or Latino"
Arkansas,2022,25.80%,28.90%,"White alone, not Hispanic or Latino"
Arkansas,2021,26.30%,28.80%,"White alone, not Hispanic or Latino"
Arkansas,2020,24.40%,26.50%,"White alone, not Hispanic or Latino"
Arkansas,2019,23.80%,26.00%,"White alone, not Hispanic or Latino"
Arkansas,2018,24.50%,26.20%,"White alone, not Hispanic or Latino"
Arkansas,2017,24.60%,26.10%,"White alone, not Hispanic or Latino"
Arkansas,2016,23.50%,24.50%,"White alone, not Hispanic or Latino"
Arkansas,2015,22.80%,24.30%,"White alone, not Hispanic or Latino"
California,2022,48.10%,47.80%,"White alone, not Hispanic or Latino"
California,2021,47.50%,46.70%,"White alone, not Hispanic or Latino"
California,2020,45.50%,43.80%,"White alone, not Hispanic or Latino"
California,2019,45.80%,44.70%,"White alone, not Hispanic or Latino"
California,2018,45.20%,43.60%,"White alone, not Hispanic or Latino"
California,2017,44.80%,42.90%,"White alone, not Hispanic or Latino"
California,2016,44.20%,42.00%,"White alone, not Hispanic or Latino"
California,2015,43.30%,40.80%,"White alone, not Hispanic or Latino"
Colorado,2022,51.50%,53.50%,"White alone, not Hispanic or Latino"
Colorado,2021,49.40%,52.20%,"White alone, not Hispanic or Latino"
Colorado,2020,47.30%,48.50%,"White alone, not Hispanic or Latino"
Colorado,2019,48.40%,49.60%,"White alone, not Hispanic or Latino"
Colorado,2018,47.40%,48.50%,"White alone, not Hispanic or Latino"
Colorado,2017,47.10%,47.80%,"White alone, not Hispanic or Latino"
Colorado,2016,46.00%,45.90%,"White alone, not Hispanic or Latino"
Colorado,2015,45.40%,45.80%,"White alone, not Hispanic or Latino"
Connecticut,2022,45.60%,49.00%,"White alone, not Hispanic or Latino"
Connecticut,2021,46.50%,48.10%,"White alone, not Hispanic or Latino"
Connecticut,2020,44.40%,45.30%,"White alone, not Hispanic or Latino"
Connecticut,2019,44.40%,45.40%,"White alone, not Hispanic or Latino"
Connecticut,2018,43.50%,45.10%,"White alone, not Hispanic or Latino"
Connecticut,2017,43.30%,44.40%,"White alone, not Hispanic or Latino"
Connecticut,2016,43.00%,43.60%,"White alone, not Hispanic or Latino"
Connecticut,2015,43.00%,42.80%,"White alone, not Hispanic or Latino"
Delaware,2022,38.90%,40.10%,"White alone, not Hispanic or Latino"
Delaware,2021,37.40%,38.10%,"White alone, not Hispanic or Latino"
Delaware,2020,34.40%,35.90%,"White alone, not Hispanic or Latino"
Delaware,2019,35.50%,36.60%,"White alone, not Hispanic or Latino"
Delaware,2018,33.60%,35.00%,"White alone, not Hispanic or Latino"
Delaware,2017,34.50%,34.30%,"White alone, not Hispanic or Latino"
Delaware,2016,33.60%,34.00%,"White alone, not Hispanic or Latino"
Delaware,2015,32.80%,32.70%,"White alone, not Hispanic or Latino"
Florida,2022,92.30%,93.20%,"White alone, not Hispanic or Latino"
Florida,2021,92.20%,93.80%,"White alone, not Hispanic or Latino"
Florida,2020,91.30%,92.60%,"White alone, not Hispanic or Latino"
Florida,2019,92.60%,91.60%,"White alone, not Hispanic or Latino"
Florida,2018,92.60%,92.50%,"White alone, not Hispanic or Latino"
Florida,2017,89.60%,92.00%,"White alone, not Hispanic or Latino"
Florida,2016,91.30%,92.80%,"White alone, not Hispanic or Latino"
Florida,2015,90.70%,92.60%,"White alone, not Hispanic or Latino"
Georgia,2022,38.80%,37.60%,"White alone, not Hispanic or Latino"
Georgia,2021,37.60%,36.50%,"White alone, not Hispanic or Latino"
Georgia,2020,35.20%,32.90%,"White alone, not Hispanic or Latino"
Georgia,2019,35.50%,33.60%,"White alone, not Hispanic or Latino"
Georgia,2018,34.90%,33.00%,"White alone, not Hispanic or Latino"
Georgia,2017,34.40%,32.40%,"White alone, not Hispanic or Latino"
Georgia,2016,33.70%,30.90%,"White alone, not Hispanic or Latino"
Georgia,2015,33.50%,30.30%,"White alone, not Hispanic or Latino"
Hawaii,2022,38.20%,38.50%,"White alone, not Hispanic or Latino"
Hawaii,2021,37.60%,38.50%,"White alone, not Hispanic or Latino"
Hawaii,2020,35.90%,35.70%,"White alone, not Hispanic or Latino"
Hawaii,2019,36.20%,36.80%,"White alone, not Hispanic or Latino"
Hawaii,2018,36.20%,35.50%,"White alone, not Hispanic or Latino"
Hawaii,2017,35.00%,34.90%,"White alone, not Hispanic or Latino"
Hawaii,2016,33.90%,33.90%,"White alone, not Hispanic or Latino"
Hawaii,2015,34.10%,33.00%,"White alone, not Hispanic or Latino"
Idaho,2022,45.20%,50.10%,"White alone, not Hispanic or Latino"
Idaho,2021,46.80%,52.30%,"White alone, not Hispanic or Latino"
Idaho,2020,45.20%,47.10%,"White alone, not Hispanic or Latino"
Idaho,2019,44.20%,48.60%,"White alone, not Hispanic or Latino"
Idaho,2018,44.10%,46.70%,"White alone, not Hispanic or Latino"
Idaho,2017,45.60%,48.00%,"White alone, not Hispanic or Latino"
Idaho,2016,43.60%,46.10%,"White alone, not Hispanic or Latino"
Idaho,2015,42.70%,47.40%,"White alone, not Hispanic or Latino"
Illinois,2022,33.80%,34.90%,"White alone, not Hispanic or Latino"
Illinois,2021,31.70%,33.60%,"White alone, not Hispanic or Latino"
Illinois,2020,30.90%,30.10%,"White alone, not Hispanic or Latino"
Illinois,2019,30.10%,30.20%,"White alone, not Hispanic or Latino"
Illinois,2018,29.10%,30.10%,"White alone, not Hispanic or Latino"
Illinois,2017,29.10%,27.90%,"White alone, not Hispanic or Latino"
Illinois,2016,30.20%,28.70%,"White alone, not Hispanic or Latino"
Illinois,2015,29.30%,26.30%,"White alone, not Hispanic or Latino"
Indiana,2022,40.90%,42.70%,"White alone, not Hispanic or Latino"
Indiana,2021,40.50%,42.20%,"White alone, not Hispanic or Latino"
Indiana,2020,39.20%,39.80%,"White alone, not Hispanic or Latino"
Indiana,2019,39.50%,40.30%,"White alone, not Hispanic or Latino"
Indiana,2018,39.00%,39.70%,"White alone, not Hispanic or Latino"
Indiana,2017,38.70%,38.80%,"White alone, not Hispanic or Latino"
Indiana,2016,37.80%,37.80%,"White alone, not Hispanic or Latino"
Indiana,2015,37.40%,36.80%,"White alone, not Hispanic or Latino"
Iowa,2022,29.60%,31.40%,"White alone, not Hispanic or Latino"
Iowa,2021,28.50%,30.90%,"White alone, not Hispanic or Latino"
Iowa,2020,27.50%,28.60%,"White alone, not Hispanic or Latino"
Iowa,2019,26.90%,28.40%,"White alone, not Hispanic or Latino"
Iowa,2018,27.40%,28.50%,"White alone, not Hispanic or Latino"
Iowa,2017,27.00%,28.20%,"White alone, not Hispanic or Latino"
Iowa,2016,26.20%,27.20%,"White alone, not Hispanic or Latino"
Iowa,2015,25.30%,26.00%,"White alone, not Hispanic or Latino"
Kansas,2022,31.20%,35.30%,"White alone, not Hispanic or Latino"
Kansas,2021,29.50%,33.00%,"White alone, not Hispanic or Latino"
Kansas,2020,28.60%,31.30%,"White alone, not Hispanic or Latino"
Kansas,2019,28.30%,31.90%,"White alone, not Hispanic or Latino"
Kansas,2018,28.10%,31.20%,"White alone, not Hispanic or Latino"
